time,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,gyro_yaw,gyro_pitch,gyro_roll,orient_yaw,orient_pitch,orient_roll,gps_lat,gps_lon,gps_speed,gps_accuracy,gps_orient,gps_sats,ins_vel_x,ins_vel_y,ins_vel_z,ins_pos_x,ins_pos_y,ins_pos_z,ins_is_reset,_t_sec,true_vel_x,true_vel_y,true_pos_x,true_pos_y,true_speed_ms,true_heading,err_vel_x,err_vel_y,err_pos_x,err_pos_y
2582120.0,2.1313,2.4238,10.5873,-0.04,0.0362,9.8065,-0.1319,-0.5064,0.2103,114.71,-83.41,30.13,52.749237,-1.674216,15.96,4,344.96,22 / 23,-3.9302104253321737,15.326035756701623,0.0,0.0,0.0,0.0,False,0.0,-3.9302104253321737,15.326035756701623,0.0,0.0,15.821944444444444,345.617,0.0,0.0,0.0,0.0
2582219.0,4.2057,5.354,9.6843,-0.1044,0.0729,9.8058,0.0953,0.1142,-0.0091,117.28,-82.68,31.17,52.749237,-1.674216,15.96,4,344.96,22 / 23,-3.6179698695273617,15.010504617084964,0.032585850000052805,-0.3736349245961511,1.501658748504864,0.0016129995750052218,False,0.09900000000016007,-4.033146982624626,15.344481131093733,-0.3998023630121509,1.51914508810718,15.865669444445151,345.2734699999944,-0.4151771130972639,0.3339765140087696,-0.026167438415999777,0.017486339602315937
2582319.0,4.5989,3.7788,8.5874,-0.0073,-0.0752,9.8063,-0.0645,0.3465,0.1576,117.28,-82.68,31.17,52.749237,-1.674216,15.96,4,344.96,22 / 23,-3.30248577569849,14.545856294004698,-0.03449414999988608,-0.719657706857129,2.9794767940580034,0.0015175845750136448,False,0.19900000000006912,-3.9872631499656395,15.352664695329416,-0.7969797609583231,3.0536350760903543,15.861986111110989,345.44127000000515,-0.6847773742671497,0.8068084013247177,-0.07732205410119408,0.07415828203235098
2582419.0,6.2521,-1.6378,9.1008,0.0089,-0.0767,9.8063,-0.1832,0.0281,-0.1796,114.59,-82.83,27.88,52.749237,-1.674216,15.96,4,344.96,22 / 23,-3.336341362183191,14.143163131657724,-0.13074914999979848,-1.0515990637509112,4.41392776533982,-0.006744580424963068,False,0.29899999999997817,-4.10657822161765,15.510674162993968,-1.2074165975841025,4.599133360763664,16.045094444439126,345.1707500000079,-0.7702368594344593,1.3675110313362442,-0.1558175338331913,0.1852055954238443
2582520.0,2.3342,-0.8084,8.2084,-0.0454,-0.0263,9.8064,-0.2086,-0.0229,0.4109,105.15,-82.75,22.04,52.749237,-1.674216,15.96,4,344.96,22 / 23,-3.5195845139917514,13.937499943268815,-0.2471061999999284,-1.3978233204981323,5.8320012506251935,-0.025826275599970583,False,0.40000000000009095,-4.1024804518901306,15.399865336009139,-1.6220937622928697,6.160198935971536,15.936944444445947,345.08300000000116,-0.5828959378983791,1.462365392740324,-0.22427044179473743,0.32819768534634264
2582620.0,0.0483,2.008,8.3776,-0.1591,-0.0732,9.805,0.0047,-0.0919,-0.0207,105.15,-82.75,22.04,52.749237,-1.674216,15.96,4,344.96,22 / 23,-3.412461583411196,13.963129344446202,-0.39847119999979075,-1.7444256253679644,7.227032715009676,-0.05810514559992719,False,0.5,-4.253176283903998,15.441059115925091,-2.0461265715402366,7.694688924662185,16.016111111111112,344.6,-0.8407147004928017,1.4779297714788893,-0.30170094617227217,0.4676562096525094
2582720.0,1.0079,-3.3619,9.6558,-0.0094,-0.0204,9.8065,-0.0289,-0.4958,0.2427,103.03,-81.93,17.36,52.749237,-1.674216,15.96,4,344.96,22 / 23,-3.413868962730381,14.081083184260239,-0.4774661999997189,-2.085742152674733,8.629243341443722,-0.10190201559986284,False,0.599999999999909,-4.467735918212195,15.559321271664938,-2.4970820988045483,9.262537389214668,16.18805555555603,343.97899999999515,-1.0538669554818143,1.4782380874046996,-0.4113399461298153,0.6332940477709457
2582819.0,4.387,0.6224,9.3556,-0.057,0.0481,9.8063,0.0971,-0.5047,0.1608,102.6,-81.73,16.58,52.749237,-1.674216,15.96,4,344.96,22 / 23,-3.5313646930162728,14.009187866257333,-0.507260249999767,-2.4295312186347484,10.01971175844659,-0.1506459748749162,False,0.6990000000000691,-4.574204559889868,15.564469973165707,-2.9501914435428223,10.792690775523514,16.22270555555659,343.62259999998935,-1.042839866873595,1.5552821069083738,-0.5206602249080738,0.7729790170769242
2582919.0,0.1107,1.7973,11.2978,0.0057,-0.0207,9.8066,0.0258,-0.447,0.289,106.3,-81.17,18.8,52.749237,-1.674216,15.96,4,344.96,22 / 23,-3.385740254691853,13.914975195396083,-0.4552552499998142,-2.77538646601984,11.415919911527991,-0.19877174987485152,False,0.7989999999999782,-4.669217545303335,15.546934177346595,-3.4212043957393403,12.34930855402924,16.232955555555264,343.2833900000097,-1.2834772906114815,1.6319589819505111,-0.6458179297195001,0.9333886425012494
2583020.0,0.2836,-0.523,11.2199,0.0248,0.0011,9.8066,0.1515,-0.0607,-0.0608,106.3,-81.17,18.8,52.749374,-1.674284,16.51,4,341.88,22 / 23,-3.2452475533157834,14.033993839940619,-0.3085830499996503,-3.1102513503246,12.827342847814071,-0.23734558402486755,False,0.900000000000091,-4.6980034859604665,15.476544996737896,-3.8903327576909708,13.91048532346851,16.173888888889696,343.1140000000023,-1.452755932644683,1.4425511567972773,-0.7800814073663709,1.083142475654439
