time,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,gyro_yaw,gyro_pitch,gyro_roll,orient_yaw,orient_pitch,orient_roll,gps_lat,gps_lon,gps_speed,gps_accuracy,gps_orient,gps_sats,ins_vel_x,ins_vel_y,ins_vel_z,ins_pos_x,ins_pos_y,ins_pos_z,ins_is_reset,_t_sec,true_vel_x,true_vel_y,true_pos_x,true_pos_y,true_speed_ms,true_heading,err_vel_x,err_vel_y,err_pos_x,err_pos_y
8.0,1.4743,-0.1709,9.5411,-0.03,0.0107,9.8066,-0.0823,-0.1866,-0.1324,179.47,-84.37,166.83,52.285957,-2.119614,29.67,4,347.58,25 / 25,-6.559337644651198,29.210653195555086,0.0,0.0,0.0,0.0,False,0.0,-6.559337644651198,29.210653195555086,0.0,0.0,29.938055555555554,347.344,0.0,0.0,0.0,0.0
107.0,2.5388,-1.5634,11.4989,-0.0354,-0.0283,9.8065,-0.1245,-0.004,-0.1973,183.9,-84.64,164.38,52.285957,-2.119614,29.67,4,347.58,25 / 25,-6.6803207104168125,29.24422938658784,0.0706216500000001,-0.6553630885758666,2.893516687816075,0.0034957716750000055,False,0.099,-6.604831801521493,29.344457787235125,-0.6531985268136109,2.895182305190019,30.0785805555576,347.3152899999996,0.0754889088953199,0.10022840064728555,0.0021645617622556568,0.001665617373943995
208.0,1.7604,1.6518,10.7303,-0.0356,0.0448,9.8064,0.0654,-0.0487,-0.1605,188.72,-84.21,159.63,52.285957,-2.119614,29.67,4,347.58,25 / 25,-6.834920089298837,29.19583877021291,0.20272460000000014,-1.3378827489615066,5.844740129734513,0.017299757300000017,False,0.19999999999999998,-6.616428845190581,29.249894463517162,-1.3195929834679192,5.8377336477455835,29.988888888892866,347.2540000000027,0.2184912441082565,0.05405569330425308,0.018289765493587407,-0.007006481988929281
308.0,0.1014,2.9193,10.8506,0.0949,-0.1724,9.8046,-0.6901,-0.2967,0.0535,196.55,-85.22,168.79,52.285957,-2.119614,29.67,4,347.58,25 / 25,-6.92089549804576,28.915872621049505,0.30110460000000017,-2.0256735283287366,8.750325699297633,0.042491217300000036,False,0.3,-6.652418671615624,29.273635336553017,-1.9793894752258823,8.762160220058753,30.019999999999094,347.1970000000016,0.2684768264301356,0.3577627155035117,0.04628405310285433,0.011834520761119904
408.0,2.9098,-1.753,11.2957,0.1975,0.0366,9.8045,0.5124,0.1294,0.3121,228.32,-86.72,170.7,52.285957,-2.119614,29.67,4,347.58,25 / 25,-6.968110137130947,28.858357458943235,0.4277546000000002,-2.7201238100875718,11.63903720329727,0.07893417730000005,False,0.39999999999999997,-6.789014436319938,29.373704852541003,-2.659592044069397,11.697706282675771,30.14805555555369,346.98600000000306,0.17909570081100856,0.5153473935977679,0.06053176601817478,0.0586690793785003
508.0,-1.4516,-3.7638,8.968,0.0884,0.0771,9.8058,0.1643,-0.2721,0.1199,239.42,-85.42,174.32,52.285957,-2.119614,29.67,4,347.58,25 / 25,-6.803585038216243,28.964193273105902,0.46027460000000026,-3.4087085688549315,14.530164739899728,0.12333563730000008,False,0.5,-6.623369167879438,29.351985978226143,-3.312586510150403,14.633252346000436,30.09,347.284,0.18021587033680486,0.38779270512024056,0.09612205870452861,0.10308760610070777
608.0,1.7752,-3.3148,12.5775,-0.0136,0.0048,9.8066,-0.0464,-0.2222,-0.0048,223.47,-85.25,168.08,52.285957,-2.119614,29.67,4,347.58,25 / 25,-6.554176740550184,29.08485491590659,0.5568846000000003,-4.076596657793253,17.432617149350353,0.17419359730000009,False,0.6,-6.903808992095303,29.47618988026356,-3.9995911046449213,17.5687984093251,30.273888888887207,346.8179999999974,-0.34963225154511957,0.3913349643569717,0.0770055531483318,0.13618125997474806
708.0,0.5562,-0.8373,10.0632,0.0649,-0.0108,9.8063,0.0568,-0.0594,0.1857,222.49,-84.68,168.07,52.285957,-2.119614,29.67,4,347.58,25 / 25,-6.481976095289797,29.222164840389212,0.7082546000000003,-4.728404299585252,20.347968137165143,0.2374505573000001,False,0.7,-6.969095448713227,29.341779487941842,-4.693397724820299,20.504344473143497,30.158055555560612,346.6390000000078,-0.48711935342342993,0.11961464755263052,0.03500657476495306,0.15637633597835432
807.0,0.8366,0.6261,9.4319,0.0178,-0.0374,9.8065,-0.0065,0.0932,0.1766,226.3,-84.66,166.03,52.285957,-2.119614,29.67,4,347.58,25 / 25,-6.512928244219007,29.186808761006695,0.7024037000000004,-5.371652064390938,23.239212330434242,0.3072781431500002,False,0.799,-6.895821849176549,29.38535566795722,-5.373532273396846,23.410535074434417,30.183630555554803,346.7934399999954,-0.382893604957542,0.19854690695052568,-0.0018802090059075738,0.17132274400017522
908.0,-0.8542,-1.8813,7.056,0.0079,-0.0029,9.8066,-0.037,-0.1378,0.3333,219.15,-85.25,167.73,52.285957,-2.119614,29.67,4,347.58,25 / 25,-6.4561804114114745,29.147567861936107,0.5445710000000006,-6.026592051500277,26.185098349892854,0.37025036550000023,False,0.9,-6.946523043255502,29.408786087972626,-6.07420893956772,26.375436599792828,30.218055555555058,346.71000000000123,-0.4903426318440278,0.2612182260365188,-0.04761688806744324,0.19033824989997328
